Registration #,User ID,Email,User Type,Country,Sector,Display Option,Preferred Currency,Company Name,Startup Stage,Base Price (INR),Base Price (USD),Extra Paid (INR),Extra Paid (USD),Total Referrals,Referral Code,Referral Earnings (INR),Referral Earnings (USD),INR Available,INR Pending,USD Available,USD Pending,Leaderboard Rank,Percentile,Ranking Score,Subscription Tier,Registration Timestamp,Status
168,03c3d6e6-605c-49a7-947f-4f1ff0595c70,casey_168@startup.io,mentor,Philippines,Tour & Activity Booking,real_name,INR,,N/A,₹1999,$29.99,₹0,$0,28,REF24404,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,168,48.0%,28.00,Beginner,2025-10-14T04:27:29.804049Z,pending
169,4ce6c2c0-a027-44f5-ba50-c19786af7f3b,user169@example.com,government,Turkey,Animation,fancy_username,USD,,N/A,₹1999,$29.99,₹2000,$24.10,0,REF28098,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,169,48.29%,2.00,Beginner,2025-10-29T01:27:29.804102Z,verified
170,a032a5f7-9d22-44e8-bdf8-5f634b1427b9,user170@example.com,ngo,Philippines,Event Management,fancy_username,INR,,N/A,₹1999,$29.99,₹0,$0,0,REF81601,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,170,48.57%,0.00,Beginner,2025-11-09T16:27:29.804154Z,verified
171,c8b35341-c48d-4a9c-a970-9ceac33d6a2f,user171@example.com,angel,Somalia,Skincare,real_name,INR,,N/A,₹1999,$29.99,₹0,$0,0,REF49008,₹399.80,$6.00,₹199.90,₹199.90,$3.00,$3.00,171,48.86%,0.00,Beginner,2025-11-24T19:27:29.804265Z,verified
172,7e93e13d-2914-490d-918e-71bd37b2719e,casey_172@startup.io,accelerator,Nigeria,Currency Exchange,anonymous,USD,,N/A,₹1999,$29.99,₹0,$0,25,REF81197,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,172,49.14%,25.00,Beginner,2025-11-07T05:27:29.804334Z,pending
173,f58b52cf-9292-4e9c-a09f-e266fa8757d3,user173@example.com,mentor,Indonesia,IoT & Hardware,fancy_username,INR,,N/A,₹1999,$29.99,₹0,$0,13,REF43612,₹399.80,$6.00,₹199.90,₹199.90,$3.00,$3.00,173,49.43%,13.00,Beginner,2025-11-15T06:27:29.804389Z,verified
174,980c6d42-a99f-4e67-8ad4-619d936d0464,user174@example.com,angel,Saint Vincent and the Grenadines,Transportation,real_name,INR,,N/A,₹1999,$29.99,₹0,$0,0,REF41779,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,174,49.71%,0.00,Beginner,2025-11-06T19:27:29.804464Z,verified
175,a1f2ecc9-66d8-4163-a7cc-3df91e294dbf,sam_175@startup.io,startup,Burkina Faso,Residential Property,fancy_username,USD,PaymentHub Pro,Mature,₹1999,$29.99,₹0,$0,10,REF10679,₹399.80,$6.00,₹199.90,₹199.90,$3.00,$3.00,175,50.0%,10.00,Beginner,2025-10-25T22:27:29.804516Z,pending
176,1543cea3-6f20-4d80-896e-864d6c4d3c3d,user176@example.com,angel,Jordan,Fleet Management,anonymous,INR,,N/A,₹1999,$29.99,₹0,$0,0,REF40437,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,176,50.29%,0.00,Beginner,2025-11-02T08:27:29.804596Z,verified
177,fa012ca9-7da4-4075-937f-e20a1df5775f,user177@example.com,startup,Djibouti,Property Management,real_name,INR,Digital Dreams,Idea,₹1999,$29.99,₹500,$6.02,18,REF34420,₹399.80,$6.00,₹199.90,₹199.90,$3.00,$3.00,177,50.57%,18.50,Beginner,2025-10-24T11:27:29.804654Z,pending
178,8c110326-0fc4-440d-b3b5-f9d728147ba0,user178@example.com,professional,Kiribati,Car Rental,fancy_username,USD,EcoTech Global,N/A,₹1999,$29.99,₹0,$0,0,REF71344,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,178,50.86%,0.00,Beginner,2025-10-20T10:27:29.804755Z,pending
179,abc0bacb-9c3f-47e4-9102-1ff6b3e3de79,casey_179@startup.io,angel,United States,Beauty & Cosmetics,real_name,USD,,N/A,₹1999,$29.99,₹1000,$12.05,0,REF33002,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,179,51.14%,1.00,Beginner,2025-10-31T20:27:29.804827Z,verified
180,cfed8422-28a0-42e3-84ab-29c530bff1e6,user180@example.com,government,Papua New Guinea,Tax Compliance,real_name,USD,,N/A,₹1999,$29.99,₹0,$0,0,REF72580,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,180,51.43%,0.00,Beginner,2025-12-02T22:27:29.804882Z,verified
181,bb775690-f81c-4fcc-a10f-310fd141d496,casey_181@startup.io,vc,Myanmar,Smart Cities,fancy_username,USD,,N/A,₹1999,$29.99,₹0,$0,0,REF44282,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,181,51.71%,0.00,Beginner,2025-11-08T02:27:29.804936Z,verified
182,95d67711-deea-4624-9fa2-ced0ffb0fa73,alex_182@startup.io,ngo,Israel,Fitness & Wellness,fancy_username,USD,,N/A,₹1999,$29.99,₹0,$0,0,REF58174,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,182,52.0%,0.00,Beginner,2025-11-03T17:27:29.804996Z,verified
183,8489e8ed-8228-4fdc-bce1-cf5cb87cf9cc,user183@example.com,ngo,Croatia,Elder Care,anonymous,USD,,N/A,₹1999,$29.99,₹0,$0,0,REF80453,₹399.80,$6.00,₹199.90,₹199.90,$3.00,$3.00,183,52.29%,0.00,Beginner,2025-11-08T11:27:29.805046Z,verified
184,2efd0b7f-46c6-4efe-81f0-c2f368bd61cf,user184@example.com,influencer,Bosnia and Herzegovina,Translation,fancy_username,USD,,N/A,₹1999,$29.99,₹0,$0,0,REF18094,₹399.80,$6.00,₹199.90,₹199.90,$3.00,$3.00,184,52.57%,0.00,Beginner,2025-11-07T23:27:29.805105Z,verified
185,245693db-c155-44be-95d1-3c880377049d,morgan_185@startup.io,mentor,Czech Republic,Tax Compliance,anonymous,USD,,N/A,₹1999,$29.99,₹0,$0,32,REF86434,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,185,52.86%,32.00,Beginner,2025-11-30T04:27:29.805164Z,pending
186,a44cf066-0706-476c-9846-aec167141ea6,user186@example.com,ngo,Chile,Psychiatry,fancy_username,USD,,N/A,₹1999,$29.99,₹0,$0,0,REF98181,₹399.80,$6.00,₹199.90,₹199.90,$3.00,$3.00,186,53.14%,0.00,Beginner,2025-11-08T12:27:29.805283Z,verified
187,9dfa1e5d-9abe-4d4b-a8ca-974f7e8a5c07,jordan_187@startup.io,startup,Yemen,Streaming & OTT,anonymous,INR,DataWave Analytics,Mature,₹1999,$29.99,₹0,$0,3,REF18357,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,187,53.43%,3.00,Beginner,2025-11-21T04:27:29.805349Z,verified
188,e24d816c-e47a-4a93-a12e-f2cf3e9c9442,sam_188@startup.io,mentor,Sweden,Home Services,fancy_username,USD,,N/A,₹1999,$29.99,₹0,$0,42,REF59236,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,188,53.71%,42.00,Beginner,2025-10-16T14:27:29.805439Z,verified
189,2e1fb9db-dc35-4f9e-887b-8a182f041d5c,jordan_189@startup.io,professional,Dominica,Strategy,fancy_username,INR,RealtyPro Solutions,N/A,₹1999,$29.99,₹0,$0,0,REF12979,₹399.80,$6.00,₹199.90,₹199.90,$3.00,$3.00,189,54.0%,0.00,Beginner,2025-10-22T02:27:29.805512Z,verified
190,fa94b46f-b6b2-4e3b-a7a3-7484b4daa191,user190@example.com,government,Portugal,Tour & Activity Booking,real_name,INR,,N/A,₹1999,$29.99,₹0,$0,0,REF34704,₹399.80,$6.00,₹199.90,₹199.90,$3.00,$3.00,190,54.29%,0.00,Beginner,2025-12-04T18:27:29.805585Z,verified
191,06db8836-d91b-4da6-86cc-eb2b1ff74e0e,user191@example.com,startup,Tanzania,Home Services,anonymous,INR,WritersPlatform Pro,Idea,₹1999,$29.99,₹0,$0,38,REF87849,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,191,54.57%,38.00,Beginner,2025-12-09T23:27:29.805661Z,verified
192,33dfe1fe-6dbe-41d0-b299-707c1230b13a,user192@example.com,government,Morocco,Professional Development,anonymous,INR,,N/A,₹1999,$29.99,₹5000,$60.24,0,REF76046,₹399.80,$6.00,₹199.90,₹199.90,$3.00,$3.00,192,54.86%,5.00,Beginner,2025-12-10T22:27:29.805719Z,verified
193,183d482b-feb4-4d2c-98c0-62f9b01229e4,user193@example.com,influencer,Japan,Accounting & Bookkeeping,real_name,USD,,N/A,₹1999,$29.99,₹2000,$24.10,0,REF64206,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,193,55.14%,2.00,Beginner,2025-11-10T19:27:29.805787Z,verified
194,7cd4bde5-3139-4f24-ac78-cbc146ccede3,user194@example.com,influencer,Venezuela,Medical Devices,anonymous,USD,,N/A,₹1999,$29.99,₹0,$0,0,REF94320,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,194,55.43%,0.00,Beginner,2025-12-10T15:27:29.805841Z,verified
195,78269c26-cad3-4c8a-a47c-c355d8c08c30,user195@example.com,government,Mauritania,Wearable Tech,fancy_username,USD,,N/A,₹1999,$29.99,₹0,$0,0,REF41584,₹399.80,$6.00,₹199.90,₹199.90,$3.00,$3.00,195,55.71%,0.00,Beginner,2025-11-09T11:27:29.805891Z,pending
196,f8f34f86-0fde-4c7b-af39-46bfaf6eccef,user196@example.com,mentor,Netherlands,Gaming & Metaverse,anonymous,USD,,N/A,₹1999,$29.99,₹1000,$12.05,13,REF60910,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,196,56.0%,14.00,Beginner,2025-11-10T22:27:29.805948Z,pending
197,246992a5-3f2a-49d9-87d4-eba717c24e46,user197@example.com,ngo,Liechtenstein,Telecommunications,anonymous,INR,,N/A,₹1999,$29.99,₹0,$0,0,REF89294,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,197,56.29%,0.00,Beginner,2025-11-19T05:27:29.806003Z,verified
198,97d93a3a-a1b0-4cd6-a590-3bef37baae82,morgan_198@startup.io,service_provider,Fiji,Hair Care,real_name,USD,,N/A,₹1999,$29.99,₹0,$0,0,REF37762,₹399.80,$6.00,₹199.90,₹199.90,$3.00,$3.00,198,56.57%,0.00,Beginner,2025-10-17T02:27:29.806063Z,verified
199,5da134f4-1ac9-40c7-9481-8d1abbfc26eb,casey_199@startup.io,vc,Tuvalu,Animation,fancy_username,INR,,N/A,₹1999,$29.99,₹0,$0,0,REF59894,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,199,56.86%,0.00,Beginner,2025-10-25T17:27:29.806128Z,verified
200,26e3475d-2b9e-4dcd-a4bb-d972af8632b2,user200@example.com,angel,Liberia,Psychiatry,fancy_username,USD,,N/A,₹1999,$29.99,₹0,$0,0,REF51973,₹399.80,$6.00,₹199.90,₹199.90,$3.00,$3.00,200,57.14%,0.00,Beginner,2025-10-28T11:27:29.806234Z,pending
201,e1315565-67f0-4920-b1e6-ab109b4ec9cc,user201@example.com,startup,Samoa,News & Journalism,anonymous,INR,HealthMax Solutions,Series A,₹2999,$44.99,₹0,$0,18,REF85909,₹599.80,$9.00,₹299.90,₹299.90,$4.50,$4.50,201,57.43%,18.00,Beginner,2025-11-08T08:27:29.806316Z,pending
202,631b6494-1e6b-4b89-aa4b-843e69dae80d,morgan_202@startup.io,vc,Pakistan,Legal Services,anonymous,USD,,N/A,₹2999,$44.99,₹0,$0,0,REF94108,₹599.80,$9.00,₹299.90,₹299.90,$4.50,$4.50,202,57.71%,0.00,Beginner,2025-10-22T11:27:29.806389Z,pending
203,28bdaf97-170c-4b83-be47-df1785bbf0f9,jordan_203@startup.io,mentor,Colombia,Financial Consulting,fancy_username,INR,,N/A,₹2999,$44.99,₹1000,$12.05,4,REF78674,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,203,58.0%,5.00,Beginner,2025-11-03T01:27:29.806451Z,verified
204,4e1e6eb7-168f-4814-9f4f-bee81732b95d,alex_204@startup.io,government,Colombia,Professional Development,real_name,INR,,N/A,₹2999,$44.99,₹0,$0,0,REF58916,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,204,58.29%,0.00,Beginner,2025-11-11T12:27:29.806505Z,verified
205,2e891cdc-baea-40a8-a3a4-b4e915bd1ae0,user205@example.com,influencer,North Korea,Orthopedics,real_name,INR,,N/A,₹2999,$44.99,₹0,$0,0,REF12192,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,205,58.57%,0.00,Beginner,2025-11-18T02:27:29.806554Z,pending
206,68b702d8-f4c9-4d76-808e-44de80d9cfd8,user206@example.com,angel,Angola,Cardiology,anonymous,USD,,N/A,₹2999,$44.99,₹0,$0,0,REF78732,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,206,58.86%,0.00,Beginner,2025-12-07T23:27:29.806640Z,verified
207,6662b8d1-5a56-4097-aabc-05841d59bd80,user207@example.com,angel,Lebanon,Smart Cities,fancy_username,INR,,N/A,₹2999,$44.99,₹0,$0,0,REF84055,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,207,59.14%,0.00,Beginner,2025-11-18T12:27:29.806720Z,verified
208,703683a1-1475-4637-a7e8-9d76ab7b7ff4,alex_208@startup.io,startup,Brunei,Warehouse Space,fancy_username,USD,FoodHub Express,Late Stage,₹2999,$44.99,₹0,$0,5,REF11238,₹599.80,$9.00,₹299.90,₹299.90,$4.50,$4.50,208,59.43%,5.00,Beginner,2025-12-10T06:27:29.806785Z,verified
209,fb3dc1df-73aa-45fa-926f-1987da92cfea,user209@example.com,influencer,Bulgaria,Interpretation,real_name,INR,,N/A,₹2999,$44.99,₹0,$0,0,REF84289,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,209,59.71%,0.00,Beginner,2025-10-19T04:27:29.806850Z,verified
210,f6a27156-3a35-42dd-b10e-890f942166ef,user210@example.com,angel,Russia,Other,anonymous,INR,,N/A,₹2999,$44.99,₹0,$0,0,REF12052,₹599.80,$9.00,₹299.90,₹299.90,$4.50,$4.50,210,60.0%,0.00,Beginner,2025-10-20T16:27:29.806900Z,verified
211,4b72eea4-4b00-42fe-b0e5-e315b4b23dca,casey_211@startup.io,professional,Iraq,Mental Health & Therapy,anonymous,INR,SmartCity Systems,N/A,₹2999,$44.99,₹0,$0,0,REF98740,₹599.80,$9.00,₹299.90,₹299.90,$4.50,$4.50,211,60.29%,0.00,Beginner,2025-10-20T14:27:29.806956Z,pending
212,eb0f1901-5ec7-4060-9ca6-4e2766279748,user212@example.com,mentor,Turkey,Food & Beverage,anonymous,USD,,N/A,₹2999,$44.99,₹0,$0,49,REF19963,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,212,60.57%,49.00,Beginner,2025-11-16T19:27:29.807012Z,verified
213,f473263a-f5e1-4c26-bdc6-8d5f55278dc7,user213@example.com,government,Kazakhstan,E-commerce & Marketplace,anonymous,USD,,N/A,₹2999,$44.99,₹500,$6.02,0,REF56636,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,213,60.86%,0.50,Beginner,2025-11-12T19:27:29.807077Z,pending
214,c31eec07-0bd0-418e-b384-a96140fb0c95,user214@example.com,influencer,Tanzania,Tour & Activity Booking,real_name,USD,,N/A,₹2999,$44.99,₹2000,$24.10,0,REF45123,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,214,61.14%,2.00,Beginner,2025-12-10T00:27:29.807137Z,verified
215,b4eabf3e-0737-40d4-87d2-25bbede5ef3b,user215@example.com,mentor,Vietnam,Car Booking,fancy_username,USD,,N/A,₹2999,$44.99,₹0,$0,17,REF68292,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,215,61.43%,17.00,Beginner,2025-12-13T17:27:29.807255Z,verified
216,8147c84a-b1f6-4dce-b05f-eff922c27f36,sam_216@startup.io,government,Myanmar,Audit & Compliance,anonymous,USD,,N/A,₹2999,$44.99,₹0,$0,0,REF82642,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,216,61.71%,0.00,Beginner,2025-12-08T15:27:29.807318Z,verified
217,22ba8615-6a49-45f2-a3f4-7a5574710672,user217@example.com,government,Andorra,Bike & Scooter Sharing,fancy_username,USD,,N/A,₹2999,$44.99,₹2000,$24.10,0,REF41816,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,217,62.0%,2.00,Beginner,2025-10-17T09:27:29.807370Z,verified
218,aca1b7e4-5310-4db3-9c87-5d53d0a6a53e,user218@example.com,mentor,Colombia,Smart Cities,fancy_username,USD,,N/A,₹2999,$44.99,₹0,$0,19,REF66973,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,218,62.29%,19.00,Beginner,2025-12-09T21:27:29.807420Z,pending
219,4c48a0f4-226d-49ed-bfdf-122e273bb625,user219@example.com,accelerator,Grenada,Corporate Training,anonymous,USD,,N/A,₹2999,$44.99,₹0,$0,0,REF24021,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,219,62.57%,0.00,Beginner,2025-12-01T12:27:29.807477Z,pending
220,18ae957f-19f4-444a-a5f0-347a2c8ea2d4,user220@example.com,influencer,Madagascar,Insurance,fancy_username,USD,,N/A,₹2999,$44.99,₹0,$0,0,REF87908,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,220,62.86%,0.00,Beginner,2025-10-22T06:27:29.807532Z,pending
221,72206faa-9bec-4922-be39-f9d8e21a7b7f,user221@example.com,vc,Nigeria,Payment Processing,real_name,USD,,N/A,₹2999,$44.99,₹0,$0,0,REF92955,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,221,63.14%,0.00,Beginner,2025-10-27T04:27:29.807596Z,verified
222,ed8036ea-0237-4ab8-86ad-bed4e363d895,user222@example.com,accelerator,Luxembourg,Ride-Sharing,fancy_username,USD,,N/A,₹2999,$44.99,₹0,$0,11,REF87624,₹599.80,$9.00,₹299.90,₹299.90,$4.50,$4.50,222,63.43%,11.00,Beginner,2025-11-07T20:27:29.807734Z,verified
223,9a017975-748f-4ca4-9a7b-b90960ce1236,user223@example.com,startup,Vanuatu,Nutrition & Diet,anonymous,INR,PaymentHub Pro,Mature,₹2999,$44.99,₹0,$0,50,REF19064,₹599.80,$9.00,₹299.90,₹299.90,$4.50,$4.50,223,63.71%,50.00,Beginner,2025-11-25T04:27:29.807816Z,verified
224,e01052b2-633c-4ce7-b139-52224c630f5f,user224@example.com,vc,Grenada,Smart Home & IoT Devices,anonymous,USD,,N/A,₹2999,$44.99,₹0,$0,0,REF72814,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,224,64.0%,0.00,Beginner,2025-11-15T07:27:29.807879Z,verified
225,885e7856-115f-47ac-bfb5-c714f7830c0b,user225@example.com,government,Russia,Data Analytics & Big Data,fancy_username,INR,,N/A,₹2999,$44.99,₹0,$0,0,REF97122,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,225,64.29%,0.00,Beginner,2025-11-28T05:27:29.807929Z,verified
226,3629dc20-ae49-490d-9dbb-c99e58c7ddc2,user226@example.com,influencer,Switzerland,Retail Space,fancy_username,USD,,N/A,₹2999,$44.99,₹0,$0,0,REF39098,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,226,64.57%,0.00,Beginner,2025-12-07T18:27:29.807979Z,verified
227,2ffc6592-abf3-41a3-8262-7e5755d6d96b,user227@example.com,influencer,Finland,Pet Services,fancy_username,USD,,N/A,₹2999,$44.99,₹0,$0,0,REF75597,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,227,64.86%,0.00,Beginner,2025-10-31T08:27:29.808029Z,verified
228,d4f8e6a0-55eb-4f4c-8732-afa087c4d158,user228@example.com,angel,Mexico,Fashion & Luxury,real_name,INR,,N/A,₹2999,$44.99,₹0,$0,0,REF37114,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,228,65.14%,0.00,Beginner,2025-11-22T12:27:29.808077Z,pending
229,a160598e-c3bd-4576-b0d2-23d430b2631d,user229@example.com,ngo,Uruguay,Childcare,fancy_username,INR,,N/A,₹2999,$44.99,₹0,$0,0,REF25084,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,229,65.43%,0.00,Beginner,2025-10-23T04:27:29.808128Z,pending
230,2c320c56-8697-4acc-a3ea-dee3baa208b5,user230@example.com,mentor,Vietnam,Skill Development Platforms,anonymous,INR,,N/A,₹2999,$44.99,₹0,$0,14,REF65885,₹599.80,$9.00,₹299.90,₹299.90,$4.50,$4.50,230,65.71%,14.00,Beginner,2025-11-22T09:27:29.808175Z,pending
231,b28449e2-2234-4b5b-a823-c6beaf35e255,user231@example.com,mentor,Suriname,Carpentry,fancy_username,INR,,N/A,₹2999,$44.99,₹0,$0,45,REF66302,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,231,66.0%,45.00,Beginner,2025-11-15T08:27:29.808300Z,verified
232,84ec37d0-832f-448d-a2c1-063f47764341,alex_232@startup.io,influencer,Burundi,Strategy,real_name,USD,,N/A,₹2999,$44.99,₹0,$0,0,REF44387,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,232,66.29%,0.00,Beginner,2025-11-14T23:27:29.808366Z,pending
233,e9323eb3-5e85-40f6-9b91-58abfc59103c,user233@example.com,accelerator,Singapore,Car Booking,anonymous,USD,,N/A,₹2999,$44.99,₹0,$0,43,REF70012,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,233,66.57%,43.00,Beginner,2025-11-21T15:27:29.808415Z,verified
234,1f0951f9-72e7-428c-8aa3-ebbeefba5617,user234@example.com,influencer,Sierra Leone,Fashion & Luxury,anonymous,INR,,N/A,₹2999,$44.99,₹0,$0,0,REF25328,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,234,66.86%,0.00,Beginner,2025-11-28T17:27:29.808480Z,verified
235,a0ba7595-df99-4e6e-91ba-435fe026b258,casey_235@startup.io,government,Singapore,Autonomous Vehicles,anonymous,USD,,N/A,₹2999,$44.99,₹0,$0,0,REF80435,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,235,67.14%,0.00,Beginner,2025-11-12T06:27:29.808531Z,verified
236,05afc485-6e06-4a16-b7e8-a153750516ed,user236@example.com,mentor,Saint Lucia,Telemedicine,fancy_username,USD,,N/A,₹2999,$44.99,₹0,$0,22,REF91187,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,236,67.43%,22.00,Beginner,2025-11-23T12:27:29.808590Z,verified
237,7b1e0daa-440f-4181-a598-4add6507d5bd,user237@example.com,vc,Malawi,Tax Planning,anonymous,USD,,N/A,₹2999,$44.99,₹0,$0,0,REF68176,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,237,67.71%,0.00,Beginner,2025-11-12T13:27:29.808642Z,verified
238,f948cd0c-029e-4628-91d8-59714d828345,user238@example.com,vc,Indonesia,Cybersecurity,fancy_username,INR,,N/A,₹2999,$44.99,₹0,$0,0,REF84140,₹599.80,$9.00,₹299.90,₹299.90,$4.50,$4.50,238,68.0%,0.00,Beginner,2025-12-03T12:27:29.808720Z,pending
239,bfb38478-931b-4816-b676-e0e0c318dabd,user239@example.com,professional,Sao Tome and Principe,Human Resources & Recruitment,fancy_username,USD,RiskGuard Systems,N/A,₹2999,$44.99,₹0,$0,0,REF67850,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,239,68.29%,0.00,Beginner,2025-10-27T01:27:29.808789Z,verified
240,223dd68d-3d20-480a-88ef-cdaff4b1f489,user240@example.com,vc,Iraq,Cybersecurity,fancy_username,USD,,N/A,₹2999,$44.99,₹0,$0,0,REF67549,₹599.80,$9.00,₹299.90,₹299.90,$4.50,$4.50,240,68.57%,0.00,Beginner,2025-10-23T00:27:29.808855Z,verified
241,7ec5031f-8888-4ca7-9b85-278d5c4be2cb,user241@example.com,vc,Eswatini,Currency Exchange,anonymous,USD,,N/A,₹2999,$44.99,₹0,$0,0,REF37124,₹599.80,$9.00,₹299.90,₹299.90,$4.50,$4.50,241,68.86%,0.00,Beginner,2025-12-05T20:27:29.808917Z,verified
242,7b2e436d-c397-48de-b0e0-1dc7f04d85b5,user242@example.com,angel,Singapore,Strategy,real_name,USD,,N/A,₹2999,$44.99,₹0,$0,0,REF45041,₹599.80,$9.00,₹299.90,₹299.90,$4.50,$4.50,242,69.14%,0.00,Beginner,2025-11-25T08:27:29.808980Z,verified
243,51f54399-5eba-4639-b536-e920f1121d0f,user243@example.com,professional,China,Residential Property,real_name,USD,GreenEnergy Solutions,N/A,₹2999,$44.99,₹0,$0,0,REF42725,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,243,69.43%,0.00,Beginner,2025-10-30T22:27:29.809040Z,verified
244,e41b7316-06c5-4039-85ac-290c8788313a,user244@example.com,government,Norway,Drone Technology,anonymous,USD,,N/A,₹2999,$44.99,₹0,$0,0,REF19898,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,244,69.71%,0.00,Beginner,2025-11-19T12:27:29.809092Z,verified
245,fd405329-ee1c-4772-b043-d167096ce48d,user245@example.com,angel,Turkmenistan,Hotel Booking,fancy_username,USD,,N/A,₹2999,$44.99,₹0,$0,0,REF22208,₹599.80,$9.00,₹299.90,₹299.90,$4.50,$4.50,245,70.0%,0.00,Beginner,2025-12-13T03:27:29.809144Z,pending
246,aa4d1773-b772-4e7d-bd2a-ea0f512c2bd5,user246@example.com,accelerator,Belize,Consulting,fancy_username,INR,,N/A,₹2999,$44.99,₹5000,$60.24,18,REF45197,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,246,70.29%,23.00,Beginner,2025-11-30T11:27:29.809271Z,pending
247,83b7d67d-f66c-498e-a4b2-a0da17eb93f0,user247@example.com,mentor,Samoa,Orthopedics,fancy_username,INR,,N/A,₹2999,$44.99,₹0,$0,10,REF12134,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,247,70.57%,10.00,Beginner,2025-11-03T12:27:29.809337Z,pending
248,729c547f-1e98-47d2-a84c-cadf296ed6de,user248@example.com,government,Eritrea,Cybersecurity,anonymous,USD,,N/A,₹2999,$44.99,₹0,$0,0,REF22234,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,248,70.86%,0.00,Beginner,2025-10-15T18:27:29.809401Z,pending
249,36cc6e8e-a797-42cc-a518-05ea7b975d4f,sam_249@startup.io,startup,Mali,Inventory Management,anonymous,INR,DataWave Analytics,Seed,₹2999,$44.99,₹0,$0,30,REF22475,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,249,71.14%,30.00,Beginner,2025-12-08T04:27:29.809462Z,verified
250,821d4e1c-a5e1-424a-b11a-2ea67082ac59,casey_250@startup.io,startup,Algeria,Stock Trading,real_name,USD,MindfulAI Corp,Pre-seed,₹2999,$44.99,₹0,$0,46,REF40008,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,250,71.43%,46.00,Beginner,2025-11-14T00:27:29.809519Z,pending
251,afc8794d-c0f1-400f-8b6d-8668a4b57d1f,user251@example.com,angel,Colombia,Tour & Activity Booking,real_name,INR,,N/A,₹2999,$44.99,₹0,$0,0,REF89995,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,251,71.71%,0.00,Beginner,2025-11-08T02:27:29.809584Z,pending
